state,count
Alabama,2893
Alaska,304
Arizona,13731
Arkansas,5052
California,170031
Colorado,9877
Connecticut,15180
Delaware,5870
Florida,31463
Georgia,36612
Hawaii,904
Idaho,1284
Illinois,50975
Indiana,12736
Iowa,5224
Kansas,6341
Kentucky,3869
Louisiana,3677
Maine,1106
Maryland,16056
Massachusetts,34915
Michigan,30426
Minnesota,15016
Mississippi,1310
Missouri,11029
Montana,324
Nebraska,2990
Nevada,2044
New Hampshire,2897
New Jersey,74368
New Mexico,1677
New York,135490
North Carolina,26490
North Dakota,817
Ohio,24416
Oklahoma,4190
Oregon,7118
Pennsylvania,33947
Rhode Island,3959
South Carolina,4180
South Dakota,567
Tennessee,8046
Texas,98011
Utah,4479
Vermont,570
Virginia,29795
Washington,39254
West Virginia,6273
Wisconsin,10672
Wyoming,316